rank,film_title,film_year,film_rating,link_url
1,The Shawshank Redemption,1994,9.3,https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,9.2,https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,9.0,https://www.imdb.com/title/tt0468569/
4,The Godfather: Part II,1974,9.0,https://www.imdb.com/title/tt0071562/
5,The Lord of the Rings: The Return of the King,2003,8.9,https://www.imdb.com/title/tt0167260/
6,Pulp Fiction,1994,8.9,https://www.imdb.com/title/tt0110912/
7,Schindler's List,1993,8.9,https://www.imdb.com/title/tt0108052/
8,12 Angry Men,1957,8.9,https://www.imdb.com/title/tt0050083/
9,Inception,2010,8.8,https://www.imdb.com/title/tt1375666/
10,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,https://www.imdb.com/title/tt0120737/
12,Forrest Gump,1994,8.8,https://www.imdb.com/title/tt0109830/
13,"The Good, the Bad and the Ugly",1966,8.8,https://www.imdb.com/title/tt0060196/
14,The Lord of the Rings: The Two Towers,2002,8.7,https://www.imdb.com/title/tt0167261/
15,The Matrix,1999,8.7,https://www.imdb.com/title/tt0133093/
16,Goodfellas,1990,8.7,https://www.imdb.com/title/tt0099685/
17,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/
18,One Flew Over the Cuckoo's Nest,1975,8.7,https://www.imdb.com/title/tt0073486/
19,Harakiri,1962,8.7,https://www.imdb.com/title/tt0056058/
20,Parasite,2019,8.6,https://www.imdb.com/title/tt6751668/
21,Interstellar,2014,8.6,https://www.imdb.com/title/tt0816692/
22,City of God,2002,8.6,https://www.imdb.com/title/tt0317248/
23,Spirited Away,2001,8.6,https://www.imdb.com/title/tt0245429/
24,Saving Private Ryan,1998,8.6,https://www.imdb.com/title/tt0120815/
25,The Green Mile,1999,8.6,https://www.imdb.com/title/tt0120689/
26,Life Is Beautiful,1997,8.6,https://www.imdb.com/title/tt0118799/
27,Seven,1995,8.6,https://www.imdb.com/title/tt0114369/
28,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/
29,Star Wars: Episode IV - A New Hope,1977,8.6,https://www.imdb.com/title/tt0076759/
30,Anand,1971,8.6,https://www.imdb.com/title/tt0066763/
31,Seven Samurai,1954,8.6,https://www.imdb.com/title/tt0047478/
32,It's a Wonderful Life,1946,8.6,https://www.imdb.com/title/tt0038650/
33,Joker,2019,8.5,https://www.imdb.com/title/tt7286456/
34,Ayla,2017,8.5,https://www.imdb.com/title/tt6316138/
35,Whiplash,2014,8.5,https://www.imdb.com/title/tt2582802/
36,Untouchable,2011,8.5,https://www.imdb.com/title/tt1675434/
37,The Prestige,2006,8.5,https://www.imdb.com/title/tt0482571/
38,The Departed,2006,8.5,https://www.imdb.com/title/tt0407887/
39,The Pianist,2002,8.5,https://www.imdb.com/title/tt0253474/
40,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/
41,American History X,1998,8.5,https://www.imdb.com/title/tt0120586/
